Id,Tweet,Class
189058897456267266,Impresionante las vistas por dentro del nicho del buda ... y mucho vértigo  #Afganistán #Bamiyán http://t.co/tFB8iknI,P
177818719551094784,Ay maÑica ojala pronto. RT @salaver7: @AlejandroSanz cuando vienes a zgz y aces un conciertico jajaaja,P
802721540076761090,"Hoy hice el gol de mi vida, perdimos 8-1 pero hice el gol de mi vida",P
183172173685456896,Feliz!! #yeswespain y #yeswespainISDIFFERENT han superado los 150.000 espectadores!! Gracias a todos!!,P
818880366866010112,Ser feliz si eso significa alejarte de personas que quieres pero que te hicieron daño importa mas tu felicidad,NONE
164758648231428096,Recuentos y más recuentos en el PSOE. Dos dirigentes diferentes creen hoy que ganará Chacón con una ventaja cómoda de unos 50 votos,P
814945032096649217,Amo los vestidos largos y los enterizos,P
170156542895718400,Gracias Rosa @wellcomm: @byuste se pospone entrevista para jueves próximo. Hablamos!,P
146174846710194176,Hay corresponsales alemanes y franceses en la sala de prensa del PP. Otra señal de que algo ha cambiado aquí,NONE
808489751816929280,"@ReinerJosueUH que raro, el mío si es real",NONE
797257564463316992,@MarifeCastroR si que bueno les gusto eso buscamos que las personas les guste la interpretación y cosplay muchas gracias a ti,P
184002621068156928,Al 90% en Asturias: PSOE: 16; FAC: 13; PP: 10: IU: 5; UPyD:1.,NONE
779685439451992064,Quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana,N
787109294806216704,Ese momento en que vas camino a una despedida de soltero y te das cuenta que ya sos adulto,N
150161971969396736,"Y mil #FF más para ella RT @fernandomorales: Mi #FF es único, exclusivo e intransferible para @sanchez_sonia por muchas cosas. #hedicho",P
164089592004362240,"Nada, seguimos sin noticias de Rajopy. Y, efectivamente, Chequia dice NO al Pacto Fiscal",N
144565001825423361,"RT:“@fernavarro17: ""En los periódicos falta calor, sudor.. humanidad"". Gran entrevista sobre periodismo http://t.co/vDBsdOsT” vía @ceciliab",NONE
786813271466651649,"Cuando estas bien con DIOS el enemigo te pone incapie en el camino, pero yo no tengo miedo por que mi FÉ esta en DIOS.",P
770010128720486400,@ignatiareilly una oleada de cosas homófobas días anteriores ,N
771024885988618240,@Garabatos ya estás aquí? 😂😂 Esta semana lo tengo complicado pero a la otra vamos ,NONE
811460112330137600,"@JacoboCisneros es Joda, tranquilo un chico tan simpático como tu no debería molestarse sonrie o envejeceras !",NONE
151233531002109952,Totalmente de acuerto  RT @amatud: Si quieres leer entre líneas sólo recuerda que Page es el delfín de Bono...,NONE
177409934206582784,les comparto ! http://t.co/5vbt7Nlr,NONE
144494768586633216,Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el @TelediarioInter 20:30,N
170852898241134592,Impresionante foto de la gran representación del @PPMalaga en el #17congresopp c/c @eliasbendodo ;-))) http://t.co/TvA8jlTG,P
177817720719540225,Un abrazo enorme que no nos impresionen las cifras RT @wasalcedo: con 5 millones de usuarios hay que tener suerte ... http://t.co/bldsBjyi,P
152775528229777409,En el PP calculaban un deficit así desde antes del 20N. Escudarse en el imprevisto es mentir.,N
773017884968808448,Buenos días bbs qué tal yo mal ,N
179811279370850304,Amnistía Internacional denuncia 31 métodos de tortura del régimen sirio en un año de revueltas http://t.co/QwExnIRi via @rtve,N
800541992614699011,No es bonito estar sin celular,N
773162483821449216,que ganas del FF XV en serio ,NONE
