Id,Tweet,Class
187437263205044224,Estos días trataré de hacer deporte con mis amigos y desconectar.,P
180438913880571904,Un mensaje especial para un luchador como Eric Abidal. Toda la fuerza para tu recuperación. Estamos con vos!,P
771051726694744064,"Chicxs nunca idealicéis demasiado a una persona, que luego os da mg en facebook y rompéis un espejo de la emoción ",N
810700953620021248,@wkCArlos yo soy igual Jajajaja trató de evitarlo pero no lo logro,NONE
769894353389162497,"Y yo mientras comeré palomitas mientras quedáis retratados porque, ay, es lo que pasa cuando usas el activismo como un arma ",N
817151700335267841,Lo bueno: el gato regresó. Lo malo: creo que es del vecino y no me lo puedo dejar.,NONE
159520155372765184,"Recuerdo a Garzon ,bermejo,la fiscal,el poli de la judicial cazando gratis con Correa en el calabozo...",N
178812716499218432,Llena de tristeza que víctimas del terrorismo como #Pilar Manjón pretendan boicotear el trabajo de la justicia en el #11M #11Mconlasvíctimas,N
145810899008110592,"RT @Ciutadans_Cs: A las 13h, no te pierdas a Inés Arrimadas en la tertulia ""La Alternativa de Cope Bcn #CsTeam",NONE
158684073529843712,Fraga sera velado en su domicilio este lunes y el martes sera trasladado a Perbes(Lugo) donde será enterrado. Es la intención de la familia.,NONE
160669443276537856,"Bertolt Brecht: ""El peor analfabeto es el analfabeto político. No oye, no habla, no participa de los acontecimiento... http://t.co/w0aRMS6M",N
156024544627392512,El videoclub salta a la red empujado por la estrecha conexión del televisor a internet http://t.co/TvGpBhkv,NONE
187066895634153473,Portada La Razón http://t.co/VoYMPtLJ ...,NONE
770541228299526144,@AlbbaBernet póntela y te das una vuelta por Málaga porfa ,NONE
174438825093906432,Desde la Sala Clara Campoamor del Senado qué menos que recomendar 'La revolución española vista por una republicana' http://t.co/g7aJEhk8,P
811614576861216768,"Que chiva pasar debajo del puente de la platina, siempre he querido ...es en serio.",P
771440336572915712,@Pudimos_ @iunida brutal! Como se parece a las manis separatistas en Catalunya!! Espero que todos consigan la anhelada libertad ,P
155418668845633537,Info sobre el rescate por EEUU de los pescadores iraníes http://t.co/Na50NRba via http://t.co/npzWp1l8,P
808554443847462912,@zabdiel1344 quise hacer un video de momentos junto a ti pero recorde que solo tengo 1 foto,N
816174084899872768,Por la culpa de la china no tengo audífonos,N
807697679052587008,Odio que me cambien mis planes por comodidad de los demás,N
143716894099259392,Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via @Clarin_com http://t.co/vgpQHJvs,P
769839602299498500,@dani_xelcox la parte de acción se me hizo muy pesada. Pero los momentos bonitos son muy bonitos ,NONE
808873050200506369,"@abdielsmusic #TeamAbdiel #barbies no hay mejor cover que este, en realidad todo es hermoso con tu voz",P
770975318341451777,La gente se descojona de mi cuando me indigno y no se lo toman en serio ,N
